k,echo_rate
0.5,0.002858456790621095
0.7291666666666666,0.0030725417552227292
0.9583333333333333,0.0032546705081389587
1.1875,0.0034415609269441492
1.4166666666666665,0.0036775268001083316
1.6458333333333333,0.004040143403767248
1.875,0.004486292738326126
2.1041666666666665,0.0051040164650842735
2.333333333333333,0.006135931783356337
2.5625,0.006781561324597273
2.7916666666666665,0.0062354034410582165
3.020833333333333,0.007244870363269564
3.25,0.006487341387654767
3.4791666666666665,0.0050930395587409204
3.708333333333333,0.004832148912500672
3.9375,0.0023877004805721727
4.166666666666666,0.001958234283720199
4.395833333333333,0.004908649943062327
4.625,0.004236227382071019
4.854166666666666,0.004555419687478204
5.083333333333333,0.006450133297387045
5.3125,0.0028049676018621155
5.541666666666666,0.0036306680711461112
5.770833333333333,0.004125832227306866
6.0,0.004131492177715185
